253559,2829,1490,3844,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253599,3143,631,4002,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253639,3696,-18,2942,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253679,6118,1319,2399,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253719,5007,758,917,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253759,3722,-39,1111,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253799,3168,62,1602,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253839,2257,64,1397,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253879,2332,-191,1697,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253919,2842,554,1182,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253959,4404,2395,3525,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
253997,3507,1597,1432,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254035,3040,1707,1356,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254073,3225,136,1701,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254112,2937,530,2310,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254150,3061,1060,2729,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254188,3126,536,2608,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254227,2926,909,2831,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254265,2807,655,2783,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254303,2883,417,2876,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254342,2824,629,2843,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254382,2847,914,2745,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254423,2792,786,2648,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254464,2779,735,2792,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254504,2791,810,3060,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254545,2994,668,2741,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254586,3047,615,2701,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254626,3028,535,2714,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254667,3013,575,2667,86,4e746c53-4171-417d-a855-a4b8ce12dc89,,transisi,transisi_sujud_ke_duduk,,
254708,3071,693,2731,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254749,3068,822,2771,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254784,3133,630,2729,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254819,3119,794,2636,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254854,3153,754,2535,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254889,3178,601,2578,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254924,3232,658,2541,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254959,3267,607,2402,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
254994,3327,748,2478,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255029,3301,751,2522,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255064,3233,730,2462,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255099,3272,744,2525,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255134,3233,704,2535,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255172,3208,846,2504,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255211,3182,783,2500,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255249,3269,805,2542,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255288,3219,729,2462,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255326,3249,860,2511,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255365,3197,835,2479,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255403,3276,788,2440,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255442,3282,819,2473,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255480,3216,892,2470,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255519,3226,866,2502,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255562,3227,941,2490,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255606,3199,836,2453,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255649,3213,862,2462,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255693,3234,894,2497,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255737,3238,862,2455,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255780,3222,887,2421,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255824,3222,848,2460,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255867,3217,809,2472,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255911,3262,839,2466,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255955,3237,878,2436,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
255988,3229,842,2492,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256021,3210,836,2440,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256055,3208,814,2481,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256088,3214,811,2426,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256121,3231,831,2503,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256155,3221,825,2410,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256188,3260,819,2470,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256221,3227,844,2413,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256255,3364,860,2472,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256288,3226,839,2409,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256322,3262,857,2486,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256364,3341,809,2407,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256407,3258,815,2440,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256450,3276,855,2466,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256493,3302,844,2412,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256536,3215,806,2399,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256578,3242,850,2458,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256621,3274,868,2434,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256664,3287,818,2402,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256707,3283,832,2417,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256750,3352,795,2398,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256784,3212,847,2468,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256819,3276,883,2434,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256853,3237,776,2390,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256888,3229,837,2397,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256922,3248,918,2410,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256957,3212,960,2440,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
256991,3223,890,2398,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257026,3331,826,2409,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257060,3353,737,2416,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257095,3347,779,2359,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257130,3322,825,2391,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257168,3249,838,2379,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257206,3294,881,2456,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257244,3268,894,2380,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257282,3291,691,2407,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257320,3289,774,2448,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257358,3268,822,2372,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257396,3212,887,2469,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257434,3239,923,2434,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257472,3235,932,2437,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257510,3279,900,2376,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257550,3324,825,2400,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257591,3265,889,2384,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257632,3303,825,2398,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257672,3319,909,2353,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257713,3250,858,2446,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257754,3128,912,2415,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257794,3185,999,2438,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257835,3260,968,2389,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257876,3275,862,2442,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257917,3267,884,2396,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257953,3237,961,2398,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
257989,3234,1009,2313,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258026,3264,930,2439,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258062,3324,934,2448,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258099,3344,805,2423,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258135,3271,803,2414,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258172,3182,1013,2406,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258208,3207,1042,2402,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258245,3162,995,2380,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258281,3294,896,2412,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258318,3285,878,2371,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258361,3253,877,2414,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258404,3211,913,2368,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258448,3256,948,2442,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258491,3300,921,2418,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258535,3224,945,2399,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258578,3268,905,2366,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258621,3234,1042,2377,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258665,3334,883,2372,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258708,3252,921,2329,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258752,3329,850,2438,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258788,3238,913,2388,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258825,3290,943,2414,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258862,3357,871,2282,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258898,3150,966,2381,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258935,3351,840,2417,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
258972,3184,1040,2369,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259008,3331,809,2475,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259045,3200,983,2340,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259082,3317,958,2457,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259119,3359,866,2302,86,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259156,3247,966,2465,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259193,3318,930,2361,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259230,3159,1031,2359,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259267,3357,949,2440,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259304,3179,1003,2327,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259341,3343,815,2474,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259378,3214,993,2308,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259415,3246,933,2466,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259452,3229,948,2354,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259489,3235,951,2406,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259526,3311,936,2372,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259565,3187,1020,2424,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259604,3294,926,2459,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259643,3196,967,2358,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259682,3292,933,2465,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259721,3245,959,2407,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259760,3206,978,2410,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259799,3306,977,2405,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259838,3197,1014,2414,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259877,3248,939,2448,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259917,3272,939,2408,85,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259956,3270,873,2403,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
259996,3251,966,2412,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
260036,3196,1100,2450,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
260076,3217,1149,2422,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
260116,3183,1185,2493,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
260155,3356,923,2319,84,647445ed-2863-4aab-bdce-ad2c0d3599d0,,duduk,duduk_antara_dua_sujud,,
260195,3269,1120,2498,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260235,3274,786,2383,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260275,3263,677,2552,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260315,3112,528,2620,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260355,3005,732,2458,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260390,3040,814,2633,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260426,2943,958,2444,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260462,3247,701,2509,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260498,3274,751,2379,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260534,3089,633,2689,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260570,3080,1022,2645,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260606,2833,832,2676,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260642,2664,784,2736,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260678,2792,939,2649,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260714,2751,1105,2502,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260760,2617,706,2333,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260806,2470,704,2161,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260852,2577,508,1911,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260898,3054,385,2468,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260944,3267,742,2105,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
260990,3344,453,1795,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261036,3579,802,2159,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261082,3554,758,2096,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261128,4213,831,1782,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261175,3801,833,1707,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261205,3433,632,1279,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261235,6491,-2744,10923,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261265,2066,1312,1192,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261295,1623,1180,3174,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261325,2562,1595,3022,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261355,2945,1245,3039,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261385,2850,1257,2915,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261415,2616,1400,2991,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261445,2880,1227,2957,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261475,2742,1308,2865,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261506,2766,1196,2895,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261546,2830,1349,2763,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261586,2848,1155,2734,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261627,2792,1258,2772,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261667,2829,1219,2825,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261708,2757,1264,2850,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261748,2772,1252,2835,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261788,2827,1106,2835,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261829,2872,1113,2778,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261869,2923,1146,2745,84,79112b3d-a069-47b0-8f4e-eee8ebab9936,,transisi,transisi_duduk_ke_sujud,,
261910,2905,1046,2796,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
261948,2945,1117,2714,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
261986,2931,1109,2733,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262024,2945,978,2700,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262062,3083,1014,2684,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262100,3044,961,2673,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262139,3035,950,2680,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262177,3066,938,2660,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262215,3039,981,2674,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262253,3068,903,2608,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262291,3097,859,2587,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
262330,3187,916,2522,84,a825fa18-3216-42f2-b0c9-a77ddc421e3e,,sujud,sujud,,
